airport_code,airport_name,city,country,country_code,latitude,longitude,timezone,is_major_airport
SFF,Felts Field,Spokane,US,US,47.682899, -117.321925,,False
SFM,Sanford Seacoast Regional Airport,Sanford,US,US,43.393901824951, -70.708000183105,,False
SFO,San Francisco International Airport,San Francisco,US,US,37.619806, -122.374821,,False
SFZ,North Central State Airport,Pawtucket,US,US,41.9207992554, -71.49140167239999,,False
SGF,Springfield Branson National Airport,Springfield,US,US,37.245047, -93.388596,,False
SGH,Springfield-Beckley Municipal Airport,Springfield,US,US,39.840301513672, -83.840202331543,,False
UST,Northeast Florida Regional Airport,St Augustine,US,US,29.9592, -81.339798,,False
SGR,Sugar Land Regional Airport,Houston,US,US,29.622299194336, -95.65650177002,,False
SGT,Stuttgart Municipal Airport / Carl Humphrey Field,Stuttgart,US,US,34.599499, -91.574997,,False
SGU,St George Regional Airport,St George,US,US,37.036389, -113.510306,,False
SHD,Shenandoah Valley Regional Airport,Weyers Cave,US,US,38.263802, -78.8964,,False
SHN,Sanderson Field,Shelton,US,US,47.233600616455, -123.14800262451,,False
SHR,Sheridan County Airport,Sheridan,US,US,44.76919937133789, -106.9800033569336,,False
SHV,Shreveport Regional Airport,Shreveport,US,US,32.446602, -93.8256,,False
SIK,Sikeston Memorial Municipal Airport,Sikeston,US,US,36.898899078369, -89.561798095703,,False
SIV,Sullivan County Airport,Sullivan,US,US,39.1147, -87.448303,,False
SIY,Siskiyou County Airport,Montague,US,US,41.781399, -122.468002,,False
SJC,Norman Y. Mineta San Jose International Airport,San Jose,US,US,37.362452, -121.929188,,False
SJN,St Johns Industrial Air Park,St Johns,US,US,34.51860046, -109.3789978,,False
SJT,San Angelo Regional Mathis Field,San Angelo,US,US,31.35770034790039, -100.49600219726562,,False
SKA,Fairchild Air Force Base,Spokane,US,US,47.615101, -117.655998,,False
SKF,Lackland Air Force Base,San Antonio,US,US,29.38419914, -98.58110046,,False
TSM,Taos Regional Airport,Taos,US,US,36.452494, -105.67749,,False
SLB,Storm Lake Municipal Airport,Storm Lake,US,US,42.5973014832, -95.24069976810001,,False
SLC,Salt Lake City International Airport,Salt Lake City,US,US,40.78886, -111.979866,,False
SLE,Salem-Willamette Valley Airport/McNary Field,Salem,US,US,44.9095, -123.002998,,False
SLG,Smith Field,Siloam Springs,US,US,36.191898, -94.489998,,False
SLK,Adirondack Regional Airport,Saranac Lake,US,US,44.38691, -74.204629,,False
SLN,Salina Municipal Airport,Salina,US,US,38.79100036621094, -97.6521987915039,,False
SLO,Salem–Leckrone Airport,Salem,US,US,38.642899, -88.964203,,False
SLR,Sulphur Springs Municipal Airport,Sulphur Springs,US,US,33.159801483154, -95.621101379395,,False
SMD,Smith Field,Fort Wayne,US,US,41.14339828, -85.15280151,,False
SME,Lake Cumberland Regional Airport,Somerset,US,US,37.053398132299996, -84.6158981323,,False
SMF,Sacramento International Airport,Sacramento,US,US,38.6954, -121.591003,,False
SMN,Lemhi County Airport,Salmon,US,US,45.122233, -113.88196,,False
SMO,Santa Monica Municipal Airport,Santa Monica,US,US,34.0158, -118.450996,,False
SUM,Sumter Airport,Sumter,US,US,33.994998931885, -80.361297607422,,False
SMX,Santa Maria Public Airport Captain G Allan Hancock Field,Santa Maria,US,US,34.898899, -120.457001,,False
SNA,John Wayne Orange County International Airport,Santa Ana,US,US,33.675063, -117.869281,,False
SNK,Winston Field,Snyder,US,US,32.690212, -100.948918,,False
SNL,Shawnee Regional Airport,Shawnee,US,US,35.357898712158, -96.942802429199,,False
SNS,Salinas Municipal Airport,Salinas,US,US,36.662799835205, -121.60600280762,,False
SNY,Sidney Municipal Airport Lloyd W Carr Field,Sidney,US,US,41.101299, -102.985001,,False
SOP,Moore County Airport,Carthage,US,US,35.237184, -79.389381,,False
SOW,Show Low Regional Airport,Show Low,US,US,34.264062, -110.007091,,False
SPA,Spartanburg Downtown Memorial Airport,Spartanburg,US,US,34.915699005127, -81.956497192383,,False
SPF,Black Hills Airport-Clyde Ice Field,Spearfish,US,US,44.48030090332, -103.78299713135,,False
SPG,Albert Whitted Airport,St Petersburg,US,US,27.7651, -82.626999,,False
SPI,Abraham Lincoln Capital Airport,Springfield,US,US,39.844101, -89.677902,,False
SPS,Wichita Falls Municipal Airport / Sheppard Air Force Base,Wichita Falls,US,US,33.9888, -98.491898,,False
SPW,Spencer Municipal Airport,Spencer,US,US,43.165500640869, -95.202796936035,,False
SQI,Whiteside County Airport - Joseph H Bittorf Field,Rock Falls,US,US,41.742175, -89.673629,,False
SQL,San Carlos Airport,San Carlos,US,US,37.51313, -122.250838,,False
SRC,Searcy Municipal Airport,Searcy,US,US,35.210602, -91.737503,,False
SRQ,Sarasota Bradenton International Airport,Sarasota/Bradenton,US,US,27.394631, -82.554359,,False
RUI,Sierra Blanca Regional Airport,Alto,US,US,33.462799, -105.535004,,False
SSC,Shaw Air Force Base,Sumter,US,US,33.972698, -80.470596,,False
SSF,Stinson Municipal Airport,San Antonio,US,US,29.336999893188, -98.471099853516,,False
SSI,St Simons Island Airport,St Simons Island,US,US,31.1518, -81.391296,,False
STC,Saint Cloud Regional Airport,Saint Cloud,US,US,45.5466, -94.059898,,False
STE,Stevens Point Municipal Airport,Stevens Point,US,US,44.5452003479, -89.530296325684,,False
STJ,Rosecrans Memorial Airport,St Joseph,US,US,39.771900177002, -94.909698486328,,False
STK,Sterling Municipal Airport,Sterling,US,US,40.613497, -103.263833,,False
STL,St. Louis Lambert International Airport,St Louis,US,US,38.748697, -90.370003,,False
STP,Saint Paul Downtown Holman Field,Saint Paul,US,US,44.93479, -93.060036,,False
STS,Charles M. Schulz Sonoma County Airport,Santa Rosa,US,US,38.50899887, -122.8130035,,False
SUA,Witham Field,Stuart,US,US,27.18169975, -80.22109985,,False
SUD,Stroud Municipal Airport,Stroud,US,US,35.789600372314, -96.655700683594,,False
SUE,Door County Cherryland Airport,Sturgeon Bay,US,US,44.84370041, -87.42150116,,False
SUN,Friedman Memorial Airport,Hailey,US,US,43.50439835, -114.2959976,,False
SUS,Spirit of St Louis Airport,St Louis,US,US,38.662102, -90.652,,False
SUU,Travis Air Force Base,Fairfield,US,US,38.262699, -121.927002,,False
SUW,Richard I Bong Memorial Airport,Superior,US,US,46.688612, -92.095041,,False
SUX,Sioux Gateway Airport / Brigadier General Bud Day Field,Sioux City,US,US,42.397605, -96.382237,,False
SVC,Grant County Airport,Silver City,US,US,32.636701, -108.154736,,False
SVE,Susanville Municipal Airport,Susanville,US,US,40.375702, -120.572998,,False
SVH,Statesville Regional Airport,Statesville,US,US,35.765301, -80.953903,,False
SVN,Hunter Army Air Field,Savannah,US,US,32.00999832, -81.14569855,,False
SWF,New York Stewart International Airport,Newburgh,US,US,41.50421, -74.108901,,False
SWO,Stillwater Regional Airport,Stillwater,US,US,36.162132, -97.085581,,False
SWW,Avenger Field,Sweetwater,US,US,32.467399597168, -100.46700286865,,False
SYI,Bomar Field / Shelbyville Municipal Airport,Shelbyville,US,US,35.560101, -86.442497,,False
SYN,Stanton Airfield,Dennison,US,US,44.475579, -93.016756,,False
SYR,Syracuse Hancock International Airport,Syracuse,US,US,43.11119842529297, -76.1063003540039,,False
SYV,Sylvester Airport,Sylvester,US,US,31.558500289917, -83.895698547363,,False
SZL,Whiteman Air Force Base,Knob Noster,US,US,38.730301, -93.547897,,False
SZN,Santa Cruz Island Airport,Santa Cruz Island,US,US,34.06007, -119.915229,,False
SZP,Santa Paula Airport,Santa Paula,US,US,34.34719849, -119.060997,,False
TBC,Tuba City Airport,Tuba City,US,US,36.091146, -111.38286,,False
TAD,Perry Stokes Airport,Trinidad,US,US,37.2593994141, -104.341003418,,False
KTB,Thorne Bay Seaplane Base,Thorne Bay,US,US,55.682762, -132.532883,,False
TBN,Waynesville-St. Robert Regional Airport-Forney Field,Fort Leonard Wood,US,US,37.7416, -92.140701,,False
TBR,Statesboro Bulloch County Airport,Statesboro,US,US,32.4827003479, -81.73690032959999,,False
KTC,Katiola Airport,Katiola,CI,CI,8.132858, -5.06487,AF,False
TCC,Tucumcari Municipal Airport,Tucumcari,US,US,35.182800293, -103.602996826,,False
TCL,Tuscaloosa National Airport,Tuscaloosa,US,US,33.2206, -87.611397,,False
TCM,McChord Air Force Base,Tacoma,US,US,47.137699, -122.475998,,False
TCS,Truth or Consequences Municipal Airport,Truth or Consequences,US,US,33.2369, -107.272003,,False
TDO,Ed Carlson Memorial Field South Lewis County Airport,Toledo,US,US,46.4771995544, -122.805999756,,False
TDW,Tradewind Airport,Amarillo,US,US,35.1698989868, -101.825996399,,False
TDZ,Toledo Executive Airport,Toledo,US,US,41.56489944, -83.4822998,,False
TEB,Teterboro Airport,Teterboro,US,US,40.850101, -74.060799,,False
TEX,Telluride Regional Airport,Telluride,US,US,37.9538, -107.907997,,False
THA,Tullahoma Regional Airport William Northern Field,Tullahoma,US,US,35.3801, -86.246399,,False
THM,Thompson Falls Airport,Thompson Falls,US,US,47.573501586914, -115.28099822998,,False
THV,York Airport,Thomasville,US,US,39.917, -76.873001,,False
TIK,Tinker Air Force Base,Oklahoma City,US,US,35.4147, -97.386597,,False
TIW,Tacoma Narrows Airport,Tacoma,US,US,47.267407, -122.577295,,False
TIX,Space Coast Regional Airport,Titusville,US,US,28.514799118042, -80.799201965332,,False
KNT,Kennett Memorial Airport,Kennett,US,US,36.2258987427, -90.0365982056,,False
TLH,Tallahassee International Airport,Tallahassee,US,US,30.401209, -84.35433,,False
TLR,Mefford Field,Tulare,US,US,36.15629959, -119.3259964,,False
TMA,Henry Tift Myers Airport,Tifton,US,US,31.4290008545, -83.4885025024,,False
TMB,Miami Executive Airport,Miami,US,US,25.6479, -80.4328,,False
OTK,Tillamook Airport,Tillamook,US,US,45.4182014465, -123.814002991,,False
TNP,Twentynine Palms Airport,Twentynine Palms,US,US,34.133901, -115.947347,,False
TNT,Dade Collier Training and Transition Airport,Miami,US,US,25.861788, -80.89701,,False
TNU,Newton Municipal Airport,Newton,US,US,41.6744, -93.021698,,False
XSD,Tonopah Test Range Airport,Tonopah,US,US,37.7988014221, -116.78099823,,False
TOA,Zamperini Field,Torrance,US,US,33.803398132324, -118.33999633789,,False
TOC,Toccoa Airport - R.G. Letourneau Field,Toccoa,US,US,34.5938, -83.295799,,False
TOI,Troy Municipal Airport at N Kenneth Campbell Field,Troy,US,US,31.860399, -86.012101,,False
TOL,Eugene F. Kranz Toledo Express Airport,Toledo,US,US,41.5868, -83.8078,,False
TOP,Philip Billard Municipal Airport,Topeka,US,US,39.069899, -95.622606,,False
TOR,Torrington Municipal Airport,Torrington,US,US,42.0644989, -104.1529999,,False
TPA,Tampa International Airport,Tampa,US,US,27.9755, -82.533203,,False
TPF,Peter O Knight Airport,Tampa,US,US,27.915599822998, -82.44930267334,,False
TPH,Tonopah Airport,Tonopah,US,US,38.06019974, -117.086998,,False
TPL,Draughon Miller Central Texas Regional Airport,Temple,US,US,31.1525, -97.407799,,False
TRI,Tri-Cities Regional TN/VA Airport,Blountville,US,US,36.475201, -82.407401,,False
TKF,Truckee Tahoe Airport,Truckee,US,US,39.318628, -120.140562,,False
TRL,Terrell Municipal Airport,Terrell,US,US,32.709202, -96.267403,,False
TRM,Jacqueline Cochran Regional Airport,Palm Springs,US,US,33.62670135498, -116.16000366211,,False
TRX,Trenton Municipal Airport,Trenton,US,US,40.0835, -93.590599,,False
TSP,Tehachapi Municipal Airport,Tehachapi,US,US,35.134998321533, -118.43900299072,,False
TTD,Portland Troutdale Airport,Portland,US,US,45.54940032959, -122.40100097656,,False
TTN,Trenton Mercer Airport,Ewing Township,US,US,40.276699, -74.813499,,False
TUL,Tulsa International Airport,Tulsa,US,US,36.197084, -95.886225,,False
